Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal
F-21088/19;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%;9/05/2014;LABORATORIO HOSPIFARMA CHILE LTDA.;DICLOFENACO;
F-21213/19;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%;26/06/2014;B Y B FARMACÉUTICA LTDA.;DICLOFENACO;
F-21300/19;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%;5/08/2014;B Y B FARMACÉUTICA LTDA.;DICLOFENACO;
F-12366/22;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%;27/08/2002;MINTLAB Co. S.A.;DICLOFENACO;
F-14603/20;DICLOFENACO GEL TÓPICO 1,16%;14/02/2005;LABORATORIO CHILE S.A.;DICLOFENACO;
F-11614/21;DICLOFENACO SÓDICO GEL TÓPICO 1%;11/12/1992;LABORATORIO PASTEUR S.A.;DICLOFENACO;
F-22030/20;DICLOTAREN GEL TÓPICO 1,16% (Diclofenaco dietilamina);28/07/2015;DROGUERÍA FARMOQUÍMICA DEL PACÍFICO LTDA.;DICLOFENACO;
F-2114/19;DICOGEL GEL TÓPICO 1,16% (DICLOFENACO);7/10/1999;MINTLAB Co. S.A.;DICLOFENACO;
F-2179/19;DIFEXON SOLUCIÓN TÓPICA AL 10%;27/03/1978;LABORATORIO BAGÓ DE CHILE S.A.;POLIVIDONA IODADA;
F-25971/21;DIFLAM GEL TÓPICO 1,16% (DICLOFENACO DIETILAMINA);8/02/2021;LABORATORIO SCL LIMITADA;DICLOFENACO;
H-810/20;DIG HERBAL COMPRIMIDOS;7/03/1988;KNOP LABORATORIOS S.A.;;
F-8671/21;DIGENIL CÁPSULAS;1/08/2001;LABORATORIOS SAVAL S.A.;PANCREATINA//SIMETICONA;
F-8569/21;DIGENIL-B CÁPSULAS;1/08/2001;LABORATORIOS SAVAL S.A.;EXTRACTO BILIS//PANCREATINA//SIMETICONA;
H-1233/22;DIGESTO HEVERT SOLUCIÓN ORAL PARA GOTAS;6/06/2017;SOCIEDAD IMPORTADORA Y COMERCIALIZADORA DE PRODUCTOS PARA LA SALUD LTDA.;;
F-23243/21;DINAFLEX DÚO FORTE GRÁNULOS PARA SOLUCIÓN ORAL EN SOBRES;13/12/2016;TECNOFARMA S.A.;CONDROITINA//GLUCOSAMINA;
F-7580/21;DIPEROX SOLUCIÓN TÓPICA 10 VOLÚMENES;19/04/2001;DIFEM LABORATORIOS S.A.;PEROXIDO DE HIDROGENO;
F-7578/21;DIPEROX SOLUCIÓN TÓPICA 20 VOLÚMENES;19/04/2001;DIFEM LABORATORIOS S.A.;PEROXIDO DE HIDROGENO;
F-7579/21;DIPEROX SOLUCIÓN TÓPICA 30 VOLÚMENES;19/04/2001;DIFEM LABORATORIOS S.A.;FENACETINA//PEROXIDO DE HIDROGENO;
F-2645/19;DIPIRONA COMPRIMIDOS 300 mg;1/02/1978;LABORATORIO VALMA SPA;METAMIZOL SODICO;
F-14170/19;DISFRUTA CLÁSICO SAL EFERVESCENTE;27/09/2004;LABORATORIO MAVER S.A.;ACIDO CITRICO//BICARBONATO SODICO//SODIO CARBONATO;
F-14171/19;DISFRUTA LIMÓN SAL EFERVESCENTE;27/09/2004;LABORATORIO MAVER S.A.;ACIDO CITRICO//BICARBONATO SODICO//SODIO CARBONATO;
F-16160/22;DISGREN AAS 81 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 81 mg;22/06/2007;LABORATORIO PASTEUR S.A.;ACIDO ACETILSALICILICO;
F-10419/21;DOLDENT GEL TÓPICO 7,5%;15/07/1996;LABORATORIO MAVER S.A.;BENZOCAINA;
F-18066/20;DOLGEX FORTE SUSPENSIÓN ORAL 200 mg/5 mL;1/06/2010;LABORATORIO CHILE S.A.;IBUPROFENO;
F-12922/18;DOLIDER COMPRIMIDOS;20/06/2003;LABORATORIO PASTEUR S.A.;ACIDO ACETILSALICILICO//CAFEINA//PARACETAMOL;
N-580/22;DOLO PATCH RUB PARCHE DÉRMICO (CAPSAICINA);22/11/2017;LABORATORIO MAVER S.A.;;
F-11095/21;DOLOKETAZON GEL 2,5%;31/05/1994;LABORATORIOS LAFI LTDA.;KETOPROFENO;
F-20024/18;DOLSOM COMPRIMIDOS 500 mg;17/06/2013;LABORATORIOS PRATER S.A.;PARACETAMOL;
F-20472/18;DOLSOM FLU DÍA POLVO PARA SOLUCIÓN ORAL EN SOBRES;22/10/2013;LABORATORIOS PRATER S.A.;ACIDO ASCORBICO//CAFEINA//NOSCAPINA//PARACETAMOL;
F-20473/18;DOLSOM FLU NOCHE POLVO PARA SOLUCIÓN ORAL EN SOBRES;23/10/2013;LABORATORIOS PRATER S.A.;ACIDO ASCORBICO//CAFEINA//CLORFENAMINA//NOSCAPINA//PARACETAMOL;
F-5485/20;DOLSOM SOLUCIÓN ORAL PARA GOTAS 100 mg/mL;20/07/2000;LABORATORIOS PRATER S.A.;PARACETAMOL;
H-1242/18;DORMIK GLOBULOS;7/05/2018;KNOP LABORATORIOS S.A.;;
H-1225/21;Dr. RECKEWEG R1 ANGINACID SOLUCIÓN PARA GOTAS ORALES;20/07/2016;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;;
H-1257/19;DR. RECKEWEG R10 KLIMAKTERAN SOLUCIÓN PARA GOTAS ORALES;18/10/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"Acidum Sulfuricum D6;Cimicifuga D6;Lachesis D12;Sanguinaria D6;Sepia D6";
H-1255/19;DR. RECKEWEG R14 QUIETA Solución para gotas orales ;8/10/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"AVENA SATIVA D4;CHAMOMILLA D4;COFFEA D4;ESCHSCHOIZIA CALIFORNICA D4;HUMULUS LUPULUS D4;IGNATIA D6;PASSIFLORA INCARNATA D4;VALERIANA D4;ZINCUM VALERIANICUM D6";
H-1262/19;DR. RECKEWEG R18 CYSTOPHYLIN SOLUCION PARA GOTAS ORALES ;26/12/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"BERBERIS VULGARIS D4;CANTHARIS D4;DULCAMARA D4;EQUISETUM HIEMALE D6;EUPATORIUM PURPUREUM D6";
H-1256/19;DR. RECKEWEG R27 RENOCALCIN solución para gotas orales. ;9/10/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"ACIDUM NITRICUM D6;BERBERIS VULGARIS D4;LYCOPODIUM D5;SASAPARRILLA D4";
H-1249/19;DR. RECKEWEG R40 DIAGLUKON SOLUCIÓN PARA GOTAS ORALES ;13/08/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;;
H-1254/19;DR. RECKEWEG R49 RHINOPULSAN SOLUCIÓN PARA GOTAS ORALES;27/09/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"ARSENICUM ALBUM D12;CALCIUM CARBONICUM HANNEMANNI D30;CINNABARIS D12;KALIUM BICHROMICUM D12;MERCURIUS SOLUBILIS HAHNEMANNI D30;PULSATILLA D12;SULFUR D30";
H-1261/19;DR. RECKEWEG R55 RUTAVINE SOLUCION PARA GOTAS ORALES;19/12/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"ARNICA D4;CALENDULA D4;HAMAMELIS D4;RHUS TOXICODENDRUM D6;RUTA D6;SYMPHYTUM D6";
H-1264/19;DR. RECKEWEG R6 GRIPFEKTAN SOLUCIÓN PARA GOTAS ORALES ;26/12/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"ACONITUM D6;BAPTISIA D6;BRYONIA D6;CAMPHORA D6;CAUSTICUM HAHNEMANNI D6;EUCALIPTUS D6;EUPATORIUM PERFOLIATUM D6;FERRUM PHOSPHORICUM D8;GELSENIUM D6;SABADILLA D6";
H-1252/19;DR. RECKEWEG R7 HEPAGELEN solución para gotas orales;10/09/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;;
H-1263/19;DR. RECKEWEG R73 SPONDARTHRIN SOLUCIÓN PARA GOTAS ORALES;26/12/2019;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"Acidum Sulfuricum;Argentum Metallicum ;Arnica ;Bryonia ;Custicum Hahnemanni;Ledum ";
H-1282/21;DR. RECKEWEG REKIN 7 HEPAGALEN SOLUCIÓN INYECTABLE;3/06/2021;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"CARDUUS MARIANUS D4;CHELIDONIUM D4;CHINA D4;CHOLESTERINUM D6;COLOCYNTHIS D6;LYCOPODIUM D6;NUX VOMICA D4";
H-1240/17;DR. RECKEWEG T R1 ANGINACID COMPRIMIDOS;19/12/2017;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;;
H-1294/22;DR. RECKEWEG TÓNICO DE ALFALFA R95 SOLUCIÓN ORAL;21/03/2022;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"ACIDUM PHOSPORICUM D2;ALFALFA D2;AVENA SATIVA D2;CALCIUM PHOSPHORICUM D6;CHINA D2;CINNAMOMUM D2;HYDRASTIS D2;MAGNESIUM PHOSPHORICUM D6;NUX VOMICA D3;PANAX GINSENG D2";
H-1285/21;DR. RECKEWEG TR 5 GASTREU COMPRIMIDOS;20/08/2021;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"Anacardium D12 ;Belladona D6 ;Carbo vegetabilis D12 ;Chamomilla D6 ;Lycopodium D12 ;Nux vomica D12";
H-1284/21;DR. RECKEWEG TR14 QUIETA COMPRIMIDOS;19/08/2021;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"Avena sativa D6 ;Chamomilla D4 ;Coffea D12 ;Eschscholzia californica D6 ;Humulus lupulus D6 ;Passiflora incarnata D6 ;Valeriana D6 ;Zincum valerianicum D12";
H-1286/21;DR. RECKEWEG TR7 HEPAGALEN COMPRIMIDOS;23/08/2021;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"Carduus marianus D6 ;Chelidonium D6 ;China D12 ;Lycopodium D6 ;Nux vomica D12";
H-1296/22;DR.RECKEWEG ATEMARON R30 UNGÜENTO TÓPICO;12/05/2022;ESCOLLANOS MEDICAMENTOS BIOLOGICOS Y COMPAÑÍA LTDA.;"ARNICA D3 OLEOS;BELLADONNA D3 OLEOS ;CALENDULA D3 OLEOS ;CAMPHORA D3 OLEOS ;DULCAMARA D3 OLEOS ;ECHINACEA D3 OLEOS ;HAMAMELIS D3 OLEOS ;HYPERICUM D3 OLEOS ;MILLEFOLIUM D3 OLEOS ;NUX VOMICA D3 OLEOS ;RHUS TOXICODENDRON D3 OLEOS";
F-22827/21;DROPOL COMPRIMIDOS EFERVESCENTES 1 g (PARACETAMOL);23/06/2016;LABORATORIO PASTEUR S.A.;PARACETAMOL;
F-11620/21;DROPOL INFANTIL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL;2/10/1990;LABORATORIO PASTEUR S.A.;PARACETAMOL;
K-71/20;DROSEMIEL JARABE;8/02/1989;LAURA XIMENA POLANCO GONZÁLEZ;;
H-1169/19;DROSERA D6 GLÓBULOS;17/09/2009;LABORATORIOS BIOSPHARE S.A.;;
H-1170/19;DULCAMARA D6 GLÓBULOS;17/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-21714/20;DUOFILM SOLUCIÓN TÓPICA;18/02/2015;GSK CONSUMER HEALTHCARE CHILE S.p.A.;ACIDO LACTICO//ACIDO SALICILICO;
H-1120/17;ECHINACEA PURPUREA TM SOLUCIÓN ORAL PARA GOTAS;28/12/2007;LAURA XIMENA POLANCO GONZÁLEZ;;
K-34/18;ECHINACEA PURPUREA/ÁCIDO ASCÓRBICO;14/02/2003;KNOP LABORATORIOS S.A.;;
H-764/20;ECHINACEA UNGÜENTO TÓPICO;28/01/1987;KNOP LABORATORIOS S.A.;;
H-1237/22;ECHIPROP D6 COMPRIMIDOS;24/10/2017;KNOP LABORATORIOS S.A.;"Echinacea D4;Propolis D4";
H-1224/21;ECHIPROP D6 GLÓBULOS;10/05/2016;KNOP LABORATORIOS S.A.;;
H-1287/21;ECHIPROP JARABE;19/10/2021;KNOP LABORATORIOS S.A.;"ECHINACEA D4;PROPOLEO D4";
H-1236/22;ECHIPROP SOLUCION PARA GOTAS ORALES;18/10/2017;KNOP LABORATORIOS S.A.;;
F-14694/20;EDUBEL GEL HUMECTANTE VAGINAL 2%;5/04/2005;LABORATORIOS RECALCINE S.A.;POLICARBOFILO;
F-12474/22;ELCAL - D SUPRA POLVO PARA SUSPENSIÓN ORAL EN SOBRES;16/10/2002;LABORATORIOS ANDRÓMACO S.A.;CALCIO FOSFATO//COLECALCIFEROL;
F-9273/21;ELCAL C MAGNÉSICO EFERVESCENTE POLVO EFERVESCENTE PARA SUSPENSIÓN ORAL EN SOBRES;30/10/2001;LABORATORIOS ANDRÓMACO S.A.;ACIDO ASCORBICO//CALCIO CARBONATO//MAGNESIO CLORURO;
F-11258/21;ELCAL CÁPSULAS 320 mg;3/07/1992;LABORATORIOS ANDRÓMACO S.A.;CALCIO CARBONATO;
F-19426/22;ELCAL D 500/800 CÁPSULAS (CARBONATO DE CALCIO / COLECALCIFEROL);22/05/2012;LABORATORIOS ANDRÓMACO S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-920/18;ELCAL FORTE CÁPSULAS 450 mg;31/12/1998;LABORATORIOS ANDRÓMACO S.A.;CALCIO CARBONATO;
F-12802/18;ELCAL-D PLUS CÁPSULAS;13/02/2003;LABORATORIOS ANDRÓMACO S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-2560/19;ELITIRAN GEL TÓPICO 1,16%;10/12/1999;MINTLAB Co. S.A.;DICLOFENACO;
N-104/21;ELIXIR DE PASSIFLORA SOLUCIÓN ORAL 1,5 mL/5 mL;22/05/1990;KNOP LABORATORIOS S.A.;;
N-548/19;ENALESS CÁPSULAS 340 mg;27/10/2014;KNOP LABORATORIOS S.A.;;
H-530/20;ENGYSTOL COMPRIMIDOS;3/05/2000;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
F-16026/22;ENO NARANJA SAL DE FRUTA(SODIO BICARBONATO / ACIDO CITRICO ANHIDRO / SODIO CARBONATO ANHIDRO);25/04/2007;GSK CONSUMER HEALTHCARE CHILE S.p.A.;ACIDO CITRICO//SODIO BICARBONATO;
F-14340/19;ENO REGULAR SAL DE FRUTA;13/12/2004;GSK CONSUMER HEALTHCARE CHILE S.p.A.;ACIDO CITRICO//BICARBONATO SODICO//SODIO CARBONATO;
B-2651/21;ENTEROL S CÁPSULAS 250 mg (SACCHAROMYCES BOULARDII);5/10/2016;INSTITUTO SANITAS S.A.;Saccharomyces Boulardii;
F-25023/19;ESAFUNG CREMA TÓPICA 1% (CLOTRIMAZOL);28/08/2019;FARMACÉUTICA ESAN LTDA.;CLOTRIMAZOL;
N-500/22;ESAMITON JARABE 35 mg/ 5 mL;17/02/2012;FARMACÉUTICA ESAN LTDA.;;
F-16672/18;ESANTERM FORTE SUSPENSIÓN ORAL 200 mg/5 mL;23/01/2008;FARMACÉUTICA ESAN LTDA.;IBUPROFENO;
F-17257/18;ESCAPEL - 1 COMPRIMIDOS 1,5 mg;5/12/2008;GEDEON RICHTER CHILE SPA;LEVONORGESTREL;
F-17258/18;ESCAPEL - 2 COMPRIMIDOS 0,75 mg;5/12/2008;GEDEON RICHTER CHILE SPA;LEVONORGESTREL;
N-114/21;ESCAR - T CREMA DÉRMICA 1%;25/03/1991;LABORATORIOS PRATER S.A.;;
H-601/20;ESCARAMUJO TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;14/03/1989;KNOP LABORATORIOS S.A.;;
H-811/20;ESCARAMUJO TM COMPRIMIDOS;23/02/1988;KNOP LABORATORIOS S.A.;;
K-56/19;ESCHSCHOLTZIA COMPUESTA SOLUCIÓN PARA GOTAS ORALES Nº 34;15/03/1993;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LTDA.;;
N-175/21;ESCHSCHOLTZIA EXTRACTO FLUIDO, SOLUCIÓN PARA GOTAS ORALES;5/04/1990;KNOP LABORATORIOS S.A.;;
F-13410/18;ESVIT-C SABOR NARANJA COMPRIMIDOS MASTICABLES 500 mg;31/12/2003;LABORATORIO CHILE S.A.;ACIDO ASCORBICO;
F-26496/21;ETHONAZOL CREMA TÓPICA 1% (CLOTRIMAZOL);9/11/2021;DROGUERÍA ETHON PHARMACEUTICALS S.p.A.;CLOTRIMAZOL;
N-460/18;EUCATOL CREMA 3,5;14/04/2008;KNOP LABORATORIOS S.A.;;
H-716/20;EUPHORBIUM COMPOSITUM S SOLUCIÓN PARA INHALACIÓN NASAL;25/08/2000;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
H-1266/20;EUPHRASIA D3 SOLUCIÓN OFTÁLMICA;26/03/2020;WELEDA CHILE S.p.A.;EUPHRASIA OFFICINALIS L.;
H-1171/19;EUPHRASIA D6 GLÓBULOS;17/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-9784/21;EUROGESIC ADULTO COMPRIMIDOS RECUBIERTOS 275 mg;11/02/1995;EUROLAB LTDA.;NAPROXENO;
F-1973/19;EUROGESIC INFANTIL POLVO PARA SUSPENSIÓN ORAL 125 mg/5 mL CON SOLVENTE;31/08/1999;EUROLAB LTDA.;NAPROXENO;
F-9787/21;EUROGESIC INFANTIL SUPOSITORIOS 50 mg;4/05/1995;EUROLAB LTDA.;NAPROXENO;
F-20418/18;EVIR SOLUCIÓN OFTÁLMICA;6/11/2013;PHARMABRAND CHILE LTDA.;POLIETILENGLICOL//TETRIZOLINA;
F-23471/22;EVITTA-1 COMPRIMIDOS 1,5 mg (LEVONORGESTREL);23/05/2017;GEDEON RICHTER CHILE SPA;LEVONORGESTREL;
F-24152/18;EVITTA-2 COMPRIMIDOS 0,75 mg;9/10/2018;GEDEON RICHTER CHILE SPA;LEVONORGESTREL;
F-1507/18;EXPERT-FITTIGEA DOBLE ACCIÓN ANTIMICÓTICO Y DESODORANTE POLVO DÉRMICO;17/11/1948;LABORATORIOS ANDRÓMACO S.A.;ÁCIDO UNDECILÉNICO//PROPIONATO DE CALCIO//UNDECILENATO DE ZINC;
K-42/18;EYKOSACOL CÁPSULAS BLANDAS;1/10/1997;KNOP LABORATORIOS S.A.;;
H-826/20;FERRUM PHOSPHORICUM D12 COMPRIMIDOS;8/08/1985;KNOP LABORATORIOS S.A.;;
H-772/20;FERRUM PHOSPHORICUM D6 COMPRIMIDOS;27/04/1988;KNOP LABORATORIOS S.A.;Ferrum Phosphoricum D6;
N-86/21;FIBRASOL SABOR NARANJA POLVO PARA SUSPENSIÓN ORAL, 68%;28/04/1992;LABORATORIO MAVER S.A.;;
F-18613/21;FINACAL PEDIÁTRICO SOLUCIÓN ORAL PARA GOTAS 100 mg/mL;27/04/2011;SCM PHARMA S.p.A.;PARACETAMOL;
F-13036/18;FINARTRIT COMPRIMIDOS (CONDROITINA/GLUCOSAMINA);22/09/2003;MEGALABS CHILE S.A.;CONDROITINA//GLUCOSAMINA;
F-16178/22;FINARTRIT FORTE COMPRIMIDOS;8/08/2007;MEGALABS CHILE S.A.;CONDROITINA//GLUCOSAMINA;
F-14949/20;FINARTRIT POLVO PARA SOLUCIÓN ORAL;27/07/2005;MEGALABS CHILE S.A.;CONDROITINA//GLUCOSAMINA;
F-1993/19;FISIOLIMP SOLUCIÓN NASAL PARA NEBULIZACIÓN 0,9%;27/08/1999;LABORATORIO PASTEUR S.A.;BENZALCONIO CLORURO//SODIO CLORURO;
N-550/19;FITOINMUN SOLUCION ORAL 10 g /100 mL;21/10/2014;KNOP LABORATORIOS S.A.;;
N-411/20;FITOTOS JARABE;23/09/1988;KNOP LABORATORIOS S.A.;;
F-1575/18;FLAPEX SUSPENSIÓN ORAL PARA GOTAS 4%;31/10/1963;LABORATORIOS SILESIA S.A.;ALUMINIO SILICATO//SIMETICONA;
F-26646/22;FLAPEX SUSPENSIÓN ORAL PARA GOTAS 4% (SIMETICONA);23/02/2022;LABORATORIOS SILESIA S.A.;SIMETICONA;
F-26794/22;FLATUGAL COMPRIMIDOS MASTICABLES 40 mg (SIMETICONA);10/05/2022;GALENICUM HEALTH CHILE S.p.A.;SIMETICONA;
F-25854/20;FLECTOR GEL TÓPICO 1,29 % (DICLOFENACO EPOLAMINA);9/12/2020;ITF - LABOMED FARMACÉUTICA LTDA.;DICLOFENACO;
F-13911/19;FLECTOR GEL TÓPICO 1,29% (DICLOFENACO);2/07/2004;ITF - LABOMED FARMACÉUTICA LTDA.;DICLOFENACO;
F-5398/20;FLECTOR PARCHE TÓPICO 180 mg (DICLOFENACO EPOLAMINA);1/09/2000;ITF - LABOMED FARMACÉUTICA LTDA.;DICLOFENACO;
N-491/20;FLEMILAR JARABE 35 mg/ 5 mL;15/09/2010;INTERPHARMA S.A.;;
F-13498/19;FLEXI-A-MIN CÁPSULAS;12/02/2004;FLAVIA WOLOSZYN Y CIA. LTDA. (GREEN MEDICAL LABORATORIOS);CONDROITINA//GLUCOSAMINA;
H-321/18;FLUCOCCINUM COMPRIMIDOS;20/03/1958;KNOP LABORATORIOS S.A.;;
N-486/20;FLUIDOX FORTE JARABE 70 mg/5 mL;22/06/2010;LABORATORIOS RECALCINE S.A.;;
N-457/17;FLUIDOX JARABE 35 mg/5 mL;31/12/2007;LABORATORIOS RECALCINE S.A.;;
H-1239/17;FLUK GLÓBULOS;28/12/2017;KNOP LABORATORIOS S.A.;;
F-7781/21;FLUOR AID SOLUCIÓN PARA COLUTORIO BUCAL 0,05%;16/11/1995;LABORATORIOS DENTAID S.A.;SODIO FLUORURO;
F-18906/21;FLUOR-KIN MENTA FORTE PASTA DENTÍFRICA;27/09/2011;MEGALABS CHILE S.A.;SODIO FLUORURO;
F-3728/20;FOILLE UNGÜENTO TÓPICO;30/04/1985;SYNTHON CHILE LTDA.;ALCOHOL BENCILICO//BENZOCAINA;
N-404/20;FORMULA I EXTRACTO FLUIDO SOLUCIÓN ORAL PARA GOTAS;21/03/1989;KNOP LABORATORIOS S.A.;;
H-1010/21;FÓRMULA II ESPECIAL SOLUCIÓN PARA GOTAS ORALES;16/01/1990;KNOP LABORATORIOS S.A.;;
N-418/20;FORMULA II EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;19/12/1988;KNOP LABORATORIOS S.A.;;
F-18177/20;FRAGIDERM UNGÜENTO DÉRMICO;28/07/2010;MINTLAB Co. S.A.;ALCOHOL BENCILICO//BENZOCAINA;
F-18076/20;FRESHMEL COMPRIMIDOS 5 mg;17/06/2010;LABORATORIO CHILE S.A.;CLORHEXIDINA;
F-306/17;FRESHMEL MENTA FRESCA COMPRIMIDOS 5 mg;29/12/1997;LABORATORIO CHILE S.A.;CLORHEXIDINA;
F-8417/21;FRESHMEL MIEL LIMÓN COMPRIMIDOS 5 mg;3/10/1991;LABORATORIO CHILE S.A.;CLORHEXIDINA;
F-5484/20;FRESHMEL TOS COMPRIMIDOS DE DISOLUCIÓN BUCAL;24/10/2000;LABORATORIO CHILE S.A.;CLORHEXIDINA//NOSCAPINA;
F-1201/18;FRUNALIA POLVO EFERVESCENTE;11/03/1999;LABORATORIO PASTEUR S.A.;ACIDO TARTARICO//BICARBONATO SODICO;
F-11661/21;FRUTASAL KNOP POLVO;30/03/1992;KNOP LABORATORIOS S.A.;ACIDO TARTARICO//BICARBONATO SODICO;
H-813/20;FUCUS TM COMPRIMIDOS;27/12/1988;KNOP LABORATORIOS S.A.;;
H-734/20;FUCUS - PHYTOLACCA COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1/06/1989;KNOP LABORATORIOS S.A.;;
H-755/20;FUCUS ESPECIAL COMPRIMIDOS;22/07/1988;KNOP LABORATORIOS S.A.;;
H-747/20;FUCUS TM SOLUCIÓN PARA GOTAS ORALES;10/08/1988;KNOP LABORATORIOS S.A.;;
F-16819/18;FUNGOS CREMA DÉRMICA 1 %;22/05/2008;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;
F-16821/18;FUNGOS POLVO TÓPICO 1 %;22/05/2008;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;
F-16820/18;FUNGOS SOLUCIÓN TÓPICA 1%;22/05/2008;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;
H-717/20;G.U.G./X SOLUCIÓN PARA GOTAS ORALES;8/02/1989;LAURA XIMENA POLANCO GONZÁLEZ;;
H-738/20;GALEGA D4 SOLUCIÓN PARA GOTAS ORALES;21/10/1988;KNOP LABORATORIOS S.A.;;
F-10837/21;GASOPAX COMPRIMIDOS MASTICABLES;26/03/1997;LABORATORIOS PRATER S.A.;ALUMINIO HIDROXIDO//MAGNESIO HIDROXIDO//SIMETICONA;
H-1244/18;GASTROK GLÓBULOS;3/10/2018;KNOP LABORATORIOS S.A.;;
F-17341/19;GAVISCON MENTA 250 COMPRIMIDOS MASTICABLES;10/02/2009;RECKITT BENCKISER CHILE S.A.;ALGINATO SODICO//BICARBONATO SODICO//CALCIO CARBONATO;
F-3749/20;GAVISCON SUSPENSIÓN ORAL;13/03/1984;RECKITT BENCKISER CHILE S.A.;CALCIO CARBONATO//SODIO ALGINATO//SODIO BICARBONATO;
F-23326/22;GAVISCON SUSPENSIÓN ORAL, EN SOBRES;27/01/2017;RECKITT BENCKISER CHILE S.A.;BICARBONATO SODICO//CALCIO CARBONATO//SODIO ALGINATO;
B-2174/21;GC-FLU PEDIÁTRICA VACUNA ANTIINFLUENZA INACTIVADA FRACCIONADA SUSPENSIÓN INYECTABLE;7/03/2011;LABORATORIO BIOSANO S.A.;;
B-2173/21;GC-FLU VACUNA ANTIINFLUENZA INACTIVADA, FRACCIONADA SUSPENSIÓN INYECTABLE;7/03/2011;LABORATORIO BIOSANO S.A.;;
F-22972/21;GEA ARTROM CÁPSULAS;12/08/2016;MINTLAB Co. S.A.;CONDROITINA//GLUCOSAMINA;
F-14816/20;GEA ARTROM COMPRIMIDOS;6/06/2005;MINTLAB Co. S.A.;CONDROITINA//GLUCOSAMINA;
F-22778/21;GEA ARTROM POLVO PARA SOLUCIÓN ORAL;14/06/2016;MINTLAB Co. S.A.;CONDROITINA//GLUCOSAMINA;
N-614/20;GEAHELIX JARABE 35 mg/5mL (HEDERA HELIX L);28/07/2020;KNOP LABORATORIOS S.A.;HEDERA HELIX L. EXTRACTO SECO DE HOJAS (4-8:1);
H-782/20;GELSEMIUM D6 COMPRIMIDOS;27/04/1988;KNOP LABORATORIOS S.A.;;
H-1172/19;GELSENIUM D6 GLÓBULOS;17/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-9895/21;GENIOL COMPRIMIDOS MASTICABLES 80 mg;21/12/1996;MINTLAB Co. S.A.;PARACETAMOL;
F-13238/18;GENIOL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL;26/11/2003;MINTLAB Co. S.A.;PARACETAMOL;
F-6908/20;GENIOL COMPRIMIDOS 500 mg;14/02/1986;MINTLAB Co. S.A.;PARACETAMOL;
F-23774/18;GENIOL COMPRIMIDOS 500 mg (PARACETAMOL);16/04/2018;MINTLAB Co. S.A.;Paracetamol;
F-17951/20;GENIOL COMPRIMIDOS MASTICABLES 160 mg;16/03/2010;MINTLAB Co. S.A.;PARACETAMOL;
